,code,concatsize,organic?,concatprod,RRP?,brand,j,price,,,#VALUE!,case size,unit size,unit,VAT code
1,6828,12x125g,,Macadamia Nuts - raw,3.42,Infinity,,30.80,,0,5028869068288,12,125,g,0
1,6829,6x250g,,Macadamia Nuts - raw,6.50,Infinity,,29.25,,0,5028869068295,6,250,g,0
1,6830,12x125g,,Pecans Halves,3.22,Infinity,,28.95,,0,5028869068301,12,125,g,0
1,6835,12x250g,,Pecans Halves,5.93,Infinity,,53.35,,0,5028869068356,12,250,g,0
1,6840,6x500g,,Pecans Halves,11.51,Infinity,,51.80,,0,5028869068400,6,500,g,0
1,6860,12x125g,,Pistachios - roasted & salted,2.52,Infinity,,22.65,,0,5028869068608,12,125,g,0
1,6865,12x250g,,Pistachios - roasted & salted,4.53,Infinity,,40.75,,0,5028869068653,12,250,g,0
1,6870,6x500g,,Pistachios - roasted & salted,8.71,Infinity,,39.20,,0,5028869068707,6,500,g,0
1,6875,12x125g,,Raw Pistachio Kernels,3.83,Infinity,,34.50,,0,5028869068752,12,125,g,0
1,6877,6x250g,,Raw Pistachio Kernels,7.33,Infinity,,32.95,,0,5028869068776,6,250,g,0
1,6880,12x125g,,Pumpkin Seeds - AA grade,1.05,Infinity,,9.40,,0,5028869068806,12,125,g,0
1,6885,12x250g,,Pumpkin Seeds - AA grade,1.59,Infinity,,14.25,,0,5028869068851,12,250,g,0
1,6890,12x500g,,Pumpkin Seeds - AA grade,2.65,Infinity,,23.85,,0,5028869068905,12,500,g,0
1,6915,12x250g,,Sunflower Seeds,1.00,Infinity,,9.00,,0,5028869069155,12,250,g,0
1,6920,12x500g,,Sunflower Seeds,1.50,Infinity,,13.50,,0,5028869069209,12,500,g,0
1,7005,12x125g,organic,Apple Rings,2.35,Infinity,,21.15,,0,5028869070052,12,125,g,0
1,7010,12x250g,organic,Apricots Whole,3.20,Infinity,,28.80,,0,5028869070106,12,250,g,0
1,7015,12x500g,organic,Apricots Whole,5.80,Infinity,,52.15,,0,5028869070151,12,500,g,0
1,7016,12x125g,organic,Sour Cherries - pitted,2.33,Infinity,r,21.00,,0,5028869070168,12,125,g,0
1,7017,12x125g,organic,Cranberries with Apple Juice,2.40,Infinity,,21.60,,0,5028869070175,12,125,g,0
1,7018,6x250g,organic,Cranberries with Apple Juice,4.65,Infinity,,20.90,,0,5028869070182,6,250,g,0
1,7019,6x250g,organic,Sour Cherries - pitted,4.50,Infinity,r,20.25,,0,5028869070199,6,250,g,0
1,7020,6x1kg,organic,Apricots Whole,11.40,Infinity,,51.25,,0,5028869070205,6,1,kg,0
1,7022,12x250g,organic,Chopped Apricots,3.00,Infinity,,27.00,,0,5028869070229,12,250,g,0
1,7024,12x125g,organic,Banana Chips,1.15,Infinity,,10.35,,0,5028869070243,12,125,g,0
1,7025,12x250g,organic,Currants,1.99,Infinity,,17.90,,0,5028869070250,12,250,g,0
1,7030,12x500g,organic,Currants,3.40,Infinity,,30.60,,0,5028869070304,12,500,g,0
1,7032,12x250g,organic,Organic Select Dates,1.39,Infinity,,12.40,,0,5028869070328,12,250,g,0
1,7033,12x500g,organic,Organic Select Dates,2.22,Infinity,,19.95,,0,5028869070335,12,500,g,0
1,7035,12x250g,organic,Dates - pitted ,2.19,Infinity,,19.75,,0,5028869070359,12,250,g,0
1,7040,12x500g,organic,Dates - pitted ,3.80,Infinity,,34.20,,0,5028869070403,12,500,g,0
1,7045,6x1kg,organic,Dates - pitted ,7.45,Infinity,,33.50,,0,5028869070458,6,1,kg,0
1,7050,12x250g,organic,Figs,2.65,Infinity,,23.85,,0,5028869070502,12,250,g,0
1,7055,12x500g,organic,Figs,4.80,Infinity,,43.20,,0,5028869070557,12,500,g,0
